You1,Me1,You2,Me2,You3,iRead,YouA,MeA,YouB,MeB,,uRead
,Ahhh those things are useless. You just have to memorize them *tongue out emoji*,So sooon! Crazy how fast time flies,I know! college literally flew by,I regret not talking to you more,"It felt like he had something to confess, and I didn't want to experience that discomfort. He was someone I didn't really talk to in high school, and most people intimidated me (social anxiety), so it felt weird to think that someone, especially a guy, noticed me. ",Thanks homie. Are you still in that apartment?,"No, we actually moved further away since ___ and ___ broke up.",Sorry to hear that. Glad all you guys are still together though!,"Thanks!!! Its ok, how's everything going???",,I didn't feel too bothered about it. I wasn't in the mood to carry out a long conversation.
yeah of course just hope you're happy with the way i presented my critiques loljk,,[skull emoji],no i'm not! walking in spring!,ah fsho just wondering. danggggg how exciting,I was on the way to class and didn't have time to respond; I forgot afterwards and didn't find it imperative to respond right away.,Lol I feel it Sigh I registered my last cset for next week too so even more stress Why I do this to myself,finals week??? gurl,See I thought like oh just get all the testing done with in one week cuz I don't wanna do it over break I WAS CLEARLY WRONG IN MY DECISION,its okay LOL itll seem like the right one when youre on break,,"I felt okay, since she's my housemate and we talk every single day. Just a little ignored."
"Hi, my name is Kazi, I am contacting you from the Verizon Wireless ClickAway in Los Altos on Main St to simply say, Congradtulations! You're eligible for an upgrade! You also may be eligible for some great in store offers. Feel free to call us at (650)383-1995, or simply reply back to this very text for more details. We are located at 357 Main Street Los Altos 94022. I look forward to your visit. Thanks in advance.",,,,,Believing it was possibly a scam + not interested if it wasn’t ,No because they are still living there and I don't want to leave my old aptmates couchless,Gotcha When is a good range?,Let me check with them I'll get back to you,"Hey, just wanted to check with you the soonest I can get the couch? This week/weekend is probably good for me, but I just don't know how many hands I'll need on it (my roomate is gone bear the end of the month)",,"Annoyed, disrespected; loathing for the person "
Love,,I'm sorry i sent you that txt earlier. I got into a car crash on Thursday and the hospital keeps putting me on these crazy medications. I'm really sorry,It's all good,I hope you're doing great. I know your classes must be really difficult now,"I didn't think that having a conversation would help either of us. I think that there were still some feelings that are not resolved on his end, and I wouldn't put it past him to have lied to me about what was going on, so I felt like it would be best to shut down the avenue completely instead of playing games and digging in a past that we should not go back to. It's been far too long since we broke up and I need to be allowed to move on, and he needed something that was going to start that process for him. ",6 yrs ago and I'm stillin love w/ u HAHAHAHA,EW I'M SO EMBARASSED Same girl <3,I've done worse lol I use to be so annoying and gross thanks for being nice to me [upside down smile emoji],GIRL i still am annoying and gross plz help me glo up,,"I felt a little sad that the conversation was over and didn't go on for very long, but we're best friends who haven't lived in the same county, state and at certain points country for over 6 years so we cherish the quick connections that we have with each other and understand that we are so busy and that it is absolutely nothing personal, things just happen."
,I'm outside,last night was fun :),,hello? [name]? hello [name]?,They were boring.,wowie I'll ask,,but also the last message in group chat was heated so I'll wait a lil,Yah idk about [name] bc I think [they] post a lot of drama and idk if u need that in ur life Ohhh shit what was dram,,I'm whatever about it. I just wanted to hear drama
No facetime? :(,,,,,I decided to facetime her instead of texting her. ,Good morning Edward and Fausstene. My name is Rayven Miller. I'm contacting you from the Children's Law Center in regards to Nakia Walker. I'm the current investigator on the case. The attorney is sending me out to see Nakia and how she's doing. Let me know your availability,Wrong number,,,,"Unless I communicate to the person about something urgent or important, I don’t mind if someone reads my text and doesn’t respond right away. In this conversation, i felt like she heard everything she needed to know and it was implied that we were on the same terms."
"I felt the same exact way And I'm actually looking forward to being back in Seattle, I had a lot of fun there and made a lot of friends. ",,I can't sleep . Did you accept that offer,,You didn't??,I met this guy on a bus from work once. He didn't get the message that I didn't want to talk to him further. Also random out of context messages past midnight??,,,,,,
yes yes I have to return my radio so imma do that rly quickly ,yeah go for it,kk done im in the omelette line ,,,"I often leave people read when there's no point of reason in me responding, using this example we made eye contact after she sent that message so I just told her where we sitting. ",of course,also lmk whenever you need to get swiped.,"awwww thanks u are too kind, the struggle is real in the apartments","girl I know, anything I can do to help",,I sometimes feel a bit upset if the person doesn't give me a response or replies hours later. 
Hey guys did you all aready do the extra credit project ??,,You wanna do it together??,,We don't have to work together just share data each other,"We worked on a group project and the person barely contributed, so I decided not to work with them again. ",I still have a lot,Thank you for working so hard to support me and brother mommy <3,,I love you so much :),,TBH mother I am shocked beyond belief 
,we should hang out tonight then,Are you still at ____?,im leaving soon,Okay! I'm tired af tho haha,"i didn't really know this person and we kept trying to make plans to hang out. one night we were gonna meet up, but that last message sounded like ""eh i'd rather not"" to me ",,oh NO hahahahhaa do you think he watched it,HAHAAHAHAA no cluedo U think he saw his feature,omg i hope so hahahahhaa and laughed,,"at first i didn't notice until i realized this person and i hadn't chatted in awhile. they were someone i messaged almost every day with lots of ""hahahahhaa""s"
Are you treating your body like temple?,0% My stomach is throwing a fit for the assortment of alcohols I've put into it,"Is that why you said you ""though"" yesterday was good? [laughing tears]",Memory is a funny thing Comes and goes and there are blank spots y'know,I don't [shrug],They didn't agree with me and I was too tired to banter,Shit sorry I'm on my flight back to la rn Completely forgotten to tell you,"o okay have a safe flight dude, whatd you get done over the break",I'll upload stuff when I get back to my computer [sweat],okie dokie if u got time tho can u help me fill out this form,,"sad, I wanted help with my form"
,,,,,"This person likes to randomly message me out of no where with compliments which I used to reply with texts such as “aww thank you for your kind words!” And then be met with the reply “what about me?” And I would say something like “you’re very sweet too” and the cycle would just repeat. In his defense, he is on the autism spectrum so I will talk to him occasionally. But when I do, the messages will just increase and it’s just not a very comfortable conversation so I now often ignore them or do not even open it up unless I have the time and energy to be conversational. ",,,,,,
